14. НАСЕЛЕНИЕ ПО ГРАЖДАНСТВУ И ВОЗРАСТНЫМ ГРУППАМ					 								
													
													
 	Всего	в том числе в возрасте, лет								Возраст не указан	Из общей численности - население в возрасте		
		0-9	10-19	20-29	30-39	40-49	50-59	60-69	70 и более		моложе трудоспособного	трудоспособном	старше трудоспособного
Российская Федерация													
Все население	145166731.0	13340224.0	23207005.0	22079380.0	20052758.0	24152362.0	15418597.0	14327638.0	12468872.0	119895.0	26327283.0	88941569.0	29777984.0
в том числе:													
граждане России	142442404.0	13127253.0	22854919.0	21524599.0	19501683.0	23710335.0	15182036.0	14161092.0	12338451.0	42036.0	25917856.0	87043315.0	29439197.0
из них имеющие два гражданства	43648.0	3601.0	4876.0	9067.0	9745.0	7321.0	3700.0	2973.0	2349.0	16.0	6123.0	31544.0	5965.0
иностранные граждане	1025413.0	80221.0	124843.0	280301.0	261664.0	160014.0	57340.0	33896.0	26405.0	729.0	143822.0	812913.0	67949.0
из них имеющие гражданство:													
стран СНГ	906314.0	75508.0	114781.0	240260.0	224297.0	141727.0	51740.0	32174.0	25289.0	538.0	136552.0	704565.0	64659.0
Азербайджана	154911.0	20636.0	19025.0	35349.0	48142.0	23750.0	5205.0	1828.0	856.0	120.0	34338.0	117432.0	3021.0
Армении	136841.0	15943.0	22155.0	29496.0	31263.0	23179.0	8591.0	4234.0	1906.0	74.0	30978.0	98625.0	7164.0
Белоруссии	40330.0	1714.0	3755.0	9686.0	9099.0	7181.0	3198.0	2939.0	2735.0	23.0	3141.0	30932.0	6234.0
Грузии	52918.0	4006.0	6349.0	12233.0	13650.0	9674.0	3686.0	2022.0	1261.0	37.0	7708.0	41434.0	3739.0
Казахстана	69472.0	5613.0	16964.0	17839.0	10181.0	7793.0	4073.0	3852.0	3144.0	13.0	11003.0	50702.0	7754.0
Киргизии	28843.0	3316.0	4090.0	8867.0	6791.0	3324.0	1131.0	707.0	609.0	8.0	5256.0	22107.0	1472.0
Молдавии	50988.0	2374.0	4802.0	18488.0	13383.0	8209.0	2339.0	778.0	580.0	35.0	4187.0	45152.0	1614.0
Таджикистана	64165.0	4142.0	6375.0	27276.0	17042.0	6973.0	1626.0	443.0	228.0	60.0	6544.0	56784.0	777.0
Туркмении	6417.0	368.0	1564.0	1714.0	1101.0	753.0	422.0	314.0	173.0	8.0	771.0	5072.0	566.0
Узбекистана	70871.0	6013.0	9132.0	19579.0	16273.0	10716.0	4730.0	2851.0	1548.0	29.0	10681.0	54916.0	5245.0
Украины	230558.0	11383.0	20570.0	59733.0	57372.0	40175.0	16739.0	12206.0	12249.0	131.0	21945.0	181409.0	27073.0
других стран мира	119099.0	4713.0	10062.0	40041.0	37367.0	18287.0	5600.0	1722.0	1116.0	191.0	7270.0	108348.0	3290.0
Афганистана	8221.0	379.0	524.0	2631.0	2868.0	1296.0	436.0	54.0	17.0	16.0	673.0	7450.0	82.0
Болгарии	2262.0	106.0	254.0	236.0	426.0	606.0	471.0	120.0	43.0	-	248.0	1838.0	176.0
Вьетнама	22545.0	713.0	1163.0	6812.0	9792.0	3523.0	444.0	44.0	16.0	38.0	886.0	21541.0	80.0
Германии	1329.0	150.0	108.0	265.0	240.0	226.0	173.0	94.0	70.0	3.0	205.0	922.0	199.0
Греции	612.0	72.0	55.0	259.0	86.0	57.0	32.0	20.0	30.0	1.0	85.0	471.0	55.0
Израиля	1016.0	106.0	110.0	258.0	218.0	143.0	76.0	58.0	46.0	1.0	153.0	744.0	118.0
Индии	5351.0	87.0	775.0	2657.0	1140.0	509.0	157.0	14.0	7.0	5.0	104.0	5218.0	24.0
Китая	30598.0	177.0	2226.0	10611.0	10909.0	5283.0	1110.0	172.0	65.0	45.0	421.0	29835.0	297.0
Латвии	2864.0	276.0	495.0	553.0	683.0	380.0	240.0	134.0	100.0	3.0	588.0	1995.0	278.0
Литвы	4583.0	283.0	577.0	834.0	1036.0	797.0	492.0	329.0	235.0	-	549.0	3399.0	635.0
Сирии	1230.0	42.0	121.0	665.0	294.0	72.0	21.0	10.0	2.0	3.0	50.0	1163.0	14.0
США	1361.0	376.0	106.0	222.0	278.0	203.0	115.0	39.0	16.0	6.0	438.0	845.0	72.0
Турции	4991.0	208.0	103.0	1864.0	1955.0	725.0	122.0	9.0	2.0	3.0	240.0	4736.0	12.0
Финляндии	285.0	39.0	21.0	49.0	41.0	57.0	50.0	12.0	15.0	1.0	48.0	202.0	34.0
Эстонии	1066.0	74.0	150.0	229.0	218.0	171.0	86.0	74.0	62.0	2.0	146.0	768.0	150.0
без гражданства	429891.0	53279.0	85208.0	75168.0	79145.0	60358.0	29213.0	26153.0	20856.0	511.0	108864.0	268407.0	52109.0
гражданство не указано	1269023.0	79471.0	142035.0	199312.0	210266.0	221655.0	150008.0	106497.0	83160.0	76619.0	156741.0	816934.0	218729.0
Городское население	106429049.0	9078461.0	16777409.0	17005984.0	14939249.0	17939890.0	11862098.0	10159746.0	8554318.0	111894.0	18019188.0	67249444.0	21048523.0
в том числе:													
граждане России	104091678.0	8908468.0	16496653.0	16519965.0	14457136.0	17556455.0	11654615.0	10018564.0	8442416.0	37406.0	17698272.0	65597403.0	20758597.0
из них имеющие два гражданства	36951.0	3116.0	4147.0	7833.0	8437.0	6092.0	3038.0	2361.0	1912.0	15.0	5205.0	26936.0	4795.0
иностранные граждане	874431.0	64114.0	101182.0	249669.0	231149.0	136393.0	46012.0	24882.0	20332.0	698.0	112687.0	710085.0	50961.0
из них имеющие гражданство:													
стран СНГ	760029.0	59727.0	91551.0	210407.0	195148.0	119110.0	40841.0	23370.0	19367.0	508.0	105988.0	605443.0	48090.0
Азербайджана	142549.0	18718.0	16860.0	33236.0	44747.0	21966.0	4730.0	1518.0	654.0	120.0	30793.0	109172.0	2464.0
Армении	113151.0	12671.0	17635.0	24989.0	26316.0	19448.0	7172.0	3337.0	1510.0	73.0	24504.0	82905.0	5669.0
Белоруссии	36089.0	1448.0	3309.0	8921.0	8261.0	6445.0	2789.0	2493.0	2400.0	23.0	2604.0	28097.0	5365.0
Грузии	46293.0	3360.0	5381.0	10877.0	12250.0	8572.0	3199.0	1622.0	997.0	35.0	6447.0	36807.0	3004.0
Казахстана	44480.0	2907.0	12269.0	12733.0	6125.0	4404.0	2249.0	2018.0	1767.0	8.0	5552.0	34705.0	4215.0
Киргизии	23697.0	2675.0	3249.0	7714.0	5901.0	2662.0	768.0	393.0	327.0	8.0	4114.0	18751.0	824.0
Молдавии	44950.0	1743.0	3972.0	16852.0	12015.0	7274.0	1968.0	619.0	472.0	35.0	3064.0	40567.0	1284.0
Таджикистана	57868.0	3361.0	5451.0	25552.0	15548.0	6123.0	1313.0	307.0	157.0	56.0	5241.0	52033.0	538.0
Туркмении	5181.0	260.0	1340.0	1451.0	910.0	567.0	304.0	228.0	113.0	8.0	535.0	4242.0	396.0
Узбекистана	55000.0	4265.0	6548.0	16259.0	13433.0	8384.0	3329.0	1745.0	1010.0	27.0	7325.0	44325.0	3323.0
Украины	190771.0	8319.0	15537.0	51823.0	49642.0	33265.0	13020.0	9090.0	9960.0	115.0	15809.0	153839.0	21008.0
других стран мира	114402.0	4387.0	9631.0	39262.0	36001.0	17283.0	5171.0	1512.0	965.0	190.0	6699.0	104642.0	2871.0
Афганистана	8154.0	379.0	523.0	2604.0	2840.0	1288.0	433.0	54.0	17.0	16.0	673.0	7383.0	82.0
Болгарии	2036.0	95.0	228.0	217.0	371.0	554.0	422.0	110.0	39.0	-	222.0	1655.0	159.0
Вьетнама	22099.0	682.0	1135.0	6683.0	9624.0	3448.0	429.0	44.0	16.0	38.0	844.0	21137.0	80.0
Германии	1200.0	132.0	95.0	253.0	204.0	213.0	164.0	78.0	58.0	3.0	178.0	851.0	168.0
Греции	546.0	59.0	51.0	245.0	76.0	47.0	26.0	17.0	24.0	1.0	70.0	431.0	44.0
Израиля	986.0	103.0	106.0	252.0	213.0	136.0	74.0	55.0	46.0	1.0	148.0	722.0	115.0
Индии	5337.0	86.0	775.0	2649.0	1136.0	509.0	156.0	14.0	7.0	5.0	103.0	5205.0	24.0
Китая	30083.0	169.0	2194.0	10512.0	10729.0	5154.0	1062.0	158.0	60.0	45.0	404.0	29359.0	275.0
Латвии	2366.0	221.0	382.0	483.0	598.0	313.0	185.0	102.0	79.0	3.0	451.0	1698.0	214.0
Литвы	4038.0	243.0	524.0	766.0	923.0	679.0	418.0	277.0	208.0	-	475.0	3023.0	540.0
Сирии	1206.0	41.0	119.0	656.0	285.0	71.0	19.0	10.0	2.0	3.0	49.0	1140.0	14.0
США	1309.0	355.0	103.0	216.0	268.0	198.0	111.0	38.0	14.0	6.0	414.0	820.0	69.0
Турции	4836.0	202.0	96.0	1805.0	1895.0	707.0	117.0	9.0	2.0	3.0	233.0	4588.0	12.0
Финляндии	264.0	37.0	20.0	47.0	41.0	56.0	43.0	9.0	10.0	1.0	46.0	192.0	25.0
Эстонии	902.0	62.0	130.0	212.0	189.0	145.0	69.0	50.0	43.0	2.0	124.0	672.0	104.0
без гражданства	230587.0	30689.0	42583.0	42061.0	45784.0	30979.0	14701.0	12640.0	10708.0	442.0	58934.0	145286.0	25925.0
гражданство не указано	1232353.0	75190.0	136991.0	194289.0	205180.0	216063.0	146770.0	103660.0	80862.0	73348.0	149295.0	796670.0	213040.0
Сельское население	38737682.0	4261763.0	6429596.0	5073396.0	5113509.0	6212472.0	3556499.0	4167892.0	3914554.0	8001.0	8308095.0	21692125.0	8729461.0
в том числе:													
граждане России	38350726.0	4218785.0	6358266.0	5004634.0	5044547.0	6153880.0	3527421.0	4142528.0	3896035.0	4630.0	8219584.0	21445912.0	8680600.0
из них имеющие два гражданства	6697.0	485.0	729.0	1234.0	1308.0	1229.0	662.0	612.0	437.0	1.0	918.0	4608.0	1170.0
иностранные граждане	150982.0	16107.0	23661.0	30632.0	30515.0	23621.0	11328.0	9014.0	6073.0	31.0	31135.0	102828.0	16988.0
из них имеющие гражданство:													
стран СНГ	146285.0	15781.0	23230.0	29853.0	29149.0	22617.0	10899.0	8804.0	5922.0	30.0	30564.0	99122.0	16569.0
Азербайджана	12362.0	1918.0	2165.0	2113.0	3395.0	1784.0	475.0	310.0	202.0	-	3545.0	8260.0	557.0
Армении	23690.0	3272.0	4520.0	4507.0	4947.0	3731.0	1419.0	897.0	396.0	1.0	6474.0	15720.0	1495.0
Белоруссии	4241.0	266.0	446.0	765.0	838.0	736.0	409.0	446.0	335.0	-	537.0	2835.0	869.0
Грузии	6625.0	646.0	968.0	1356.0	1400.0	1102.0	487.0	400.0	264.0	2.0	1261.0	4627.0	735.0
Казахстана	24992.0	2706.0	4695.0	5106.0	4056.0	3389.0	1824.0	1834.0	1377.0	5.0	5451.0	15997.0	3539.0
Киргизии	5146.0	641.0	841.0	1153.0	890.0	662.0	363.0	314.0	282.0	-	1142.0	3356.0	648.0
Молдавии	6038.0	631.0	830.0	1636.0	1368.0	935.0	371.0	159.0	108.0	-	1123.0	4585.0	330.0
Таджикистана	6297.0	781.0	924.0	1724.0	1494.0	850.0	313.0	136.0	71.0	4.0	1303.0	4751.0	239.0
Туркмении	1236.0	108.0	224.0	263.0	191.0	186.0	118.0	86.0	60.0	-	236.0	830.0	170.0
Узбекистана	15871.0	1748.0	2584.0	3320.0	2840.0	2332.0	1401.0	1106.0	538.0	2.0	3356.0	10591.0	1922.0
Украины	39787.0	3064.0	5033.0	7910.0	7730.0	6910.0	3719.0	3116.0	2289.0	16.0	6136.0	27570.0	6065.0
других стран мира	4697.0	326.0	431.0	779.0	1366.0	1004.0	429.0	210.0	151.0	1.0	571.0	3706.0	419.0
Афганистана	67.0	-	1.0	27.0	28.0	8.0	3.0	-	-	-	-	67.0	-
Болгарии	226.0	11.0	26.0	19.0	55.0	52.0	49.0	10.0	4.0	-	26.0	183.0	17.0
Вьетнама	446.0	31.0	28.0	129.0	168.0	75.0	15.0	-	-	-	42.0	404.0	-
Германии	129.0	18.0	13.0	12.0	36.0	13.0	9.0	16.0	12.0	-	27.0	71.0	31.0
Греции	66.0	13.0	4.0	14.0	10.0	10.0	6.0	3.0	6.0	-	15.0	40.0	11.0
Израиля	30.0	3.0	4.0	6.0	5.0	7.0	2.0	3.0	-	-	5.0	22.0	3.0
Индии	14.0	1.0	-	8.0	4.0	-	1.0	-	-	-	1.0	13.0	-
Китая	515.0	8.0	32.0	99.0	180.0	129.0	48.0	14.0	5.0	-	17.0	476.0	22.0
Латвии	498.0	55.0	113.0	70.0	85.0	67.0	55.0	32.0	21.0	-	137.0	297.0	64.0
Литвы	545.0	40.0	53.0	68.0	113.0	118.0	74.0	52.0	27.0	-	74.0	376.0	95.0
Сирии	24.0	1.0	2.0	9.0	9.0	1.0	2.0	-	-	-	1.0	23.0	-
США	52.0	21.0	3.0	6.0	10.0	5.0	4.0	1.0	2.0	-	24.0	25.0	3.0
Турции	155.0	6.0	7.0	59.0	60.0	18.0	5.0	-	-	-	7.0	148.0	-
Финляндии	21.0	2.0	1.0	2.0	-	1.0	7.0	3.0	5.0	-	2.0	10.0	9.0
Эстонии	164.0	12.0	20.0	17.0	29.0	26.0	17.0	24.0	19.0	-	22.0	96.0	46.0
без гражданства	199304.0	22590.0	42625.0	33107.0	33361.0	29379.0	14512.0	13513.0	10148.0	69.0	49930.0	123121.0	26184.0
гражданство не указано	36670.0	4281.0	5044.0	5023.0	5086.0	5592.0	3238.0	2837.0	2298.0	3271.0	7446.0	20264.0	5689.0
