				
1. ВСЕ НАСЕЛЕНИЕ, ГОРОДСКОЕ, СЕЛЬСКОЕ ПО ПОЛУ И ВОЗРАСТУ				
				
				
	Мужчины и женщины	Мужчины	Женщины	Женщин на 1000 мужчин
				
Городское и сельское население 	145166731.0	67605133.0	77561598.0	1147.0
в том числе в возрасте, лет:				
до 1	1333693.0	682698.0	650995.0	954.0
1.0	1253068.0	641551.0	611517.0	953.0
2.0	1258866.0	644671.0	614195.0	953.0
3.0	1258539.0	644652.0	613887.0	952.0
4.0	1295185.0	662998.0	632187.0	954.0
0 – 4	6399351.0	3276570.0	3122781.0	953.0
5.0	1289379.0	659306.0	630073.0	956.0
6.0	1325725.0	678341.0	647384.0	954.0
7.0	1403952.0	717053.0	686899.0	958.0
8.0	1447971.0	740366.0	707605.0	956.0
9.0	1473846.0	753300.0	720546.0	957.0
5 – 9	6940873.0	3548366.0	3392507.0	956.0
10.0	1712220.0	875113.0	837107.0	957.0
11.0	1883642.0	963123.0	920519.0	956.0
12.0	2115963.0	1081671.0	1034292.0	956.0
13.0	2243924.0	1145059.0	1098865.0	960.0
14.0	2450628.0	1247787.0	1202841.0	964.0
10 – 14	10406377.0	5312753.0	5093624.0	959.0
15.0	2580682.0	1314341.0	1266341.0	963.0
16.0	2542355.0	1291147.0	1251208.0	969.0
17.0	2500217.0	1266227.0	1233990.0	975.0
18.0	2576556.0	1306873.0	1269683.0	972.0
19.0	2600818.0	1325599.0	1275219.0	962.0
15 – 19	12800628.0	6504187.0	6296441.0	968.0
20.0	2434303.0	1234028.0	1200275.0	973.0
21.0	2301081.0	1162951.0	1138130.0	979.0
22.0	2320842.0	1170248.0	1150594.0	983.0
23.0	2214643.0	1115312.0	1099331.0	986.0
24.0	2195535.0	1100598.0	1094937.0	995.0
20 – 24	11466404.0	5783137.0	5683267.0	983.0
25.0	2174591.0	1088833.0	1085758.0	997.0
26.0	2179421.0	1092321.0	1087100.0	995.0
27.0	2137428.0	1070733.0	1066695.0	996.0
28.0	2089683.0	1045802.0	1043881.0	998.0
29.0	2031853.0	1016461.0	1015392.0	999.0
25 – 29	10612976.0	5314150.0	5298826.0	997.0
30.0	2118713.0	1061391.0	1057322.0	996.0
31.0	1987123.0	994896.0	992227.0	997.0
32.0	2009467.0	1007712.0	1001755.0	994.0
33.0	1874995.0	933628.0	941367.0	1008.0
34.0	1846076.0	916902.0	929174.0	1013.0
30 – 34	9836374.0	4914529.0	4921845.0	1001.0
35.0	1880693.0	929632.0	951061.0	1023.0
36.0	1943683.0	957895.0	985788.0	1029.0
37.0	1993023.0	981477.0	1011546.0	1031.0
38.0	2120745.0	1039571.0	1081174.0	1040.0
39.0	2278240.0	1116279.0	1161961.0	1041.0
35 – 39	10216384.0	5024854.0	5191530.0	1033.0
40.0	2450171.0	1195521.0	1254650.0	1049.0
41.0	2486627.0	1210704.0	1275923.0	1054.0
42.0	2622441.0	1278766.0	1343675.0	1051.0
43.0	2525768.0	1216728.0	1309040.0	1076.0
44.0	2461463.0	1182385.0	1279078.0	1082.0
40 – 44	12546470.0	6084104.0	6462366.0	1062.0
45.0	2435995.0	1167289.0	1268706.0	1087.0
46.0	2360239.0	1123058.0	1237181.0	1102.0
47.0	2361158.0	1117150.0	1244008.0	1114.0
48.0	2314688.0	1087663.0	1227025.0	1128.0
49.0	2133812.0	998307.0	1135505.0	1137.0
45 – 49	11605892.0	5493467.0	6112425.0	1113.0
50.0	2226276.0	1035886.0	1190390.0	1149.0
51.0	2055704.0	951627.0	1104077.0	1160.0
52.0	2076258.0	960428.0	1115830.0	1162.0
53.0	2112962.0	963751.0	1149211.0	1192.0
54.0	1599998.0	730354.0	869644.0	1191.0
50 – 54	10071198.0	4642046.0	5429152.0	1170.0
55.0	1781240.0	798841.0	982399.0	1230.0
56.0	1357225.0	604983.0	752242.0	1243.0
57.0	868433.0	382611.0	485822.0	1270.0
58.0	685608.0	298788.0	386820.0	1295.0
59.0	654893.0	280702.0	374191.0	1333.0
55 – 59	5347399.0	2365925.0	2981474.0	1260.0
60.0	1184524.0	493677.0	690847.0	1399.0
61.0	1507064.0	625270.0	881794.0	1410.0
62.0	1695572.0	694930.0	1000642.0	1440.0
63.0	1845195.0	741777.0	1103418.0	1488.0
64.0	1750707.0	695339.0	1055368.0	1518.0
60 – 64	7983062.0	3250993.0	4732069.0	1456.0
65.0	1755987.0	693911.0	1062076.0	1531.0
66.0	1433882.0	559111.0	874771.0	1565.0
67.0	1211654.0	467811.0	743843.0	1590.0
68.0	948817.0	358252.0	590565.0	1648.0
69.0	994236.0	364999.0	629237.0	1724.0
65 – 69	6344576.0	2444084.0	3900492.0	1596.0
70.0	1182913.0	427681.0	755232.0	1766.0
71.0	1138425.0	405822.0	732603.0	1805.0
72.0	1254406.0	435844.0	818562.0	1878.0
73.0	1147583.0	385155.0	762428.0	1980.0
74.0	1174370.0	379150.0	795220.0	2097.0
70 – 74	5897697.0	2033652.0	3864045.0	1900.0
75.0	1024500.0	317841.0	706659.0	2223.0
76.0	916036.0	258185.0	657851.0	2548.0
77.0	774366.0	193023.0	581343.0	3012.0
78.0	669038.0	154406.0	514632.0	3333.0
79.0	527346.0	112987.0	414359.0	3667.0
75 – 79	3911286.0	1036442.0	2874844.0	2774.0
80.0	431259.0	89944.0	341315.0	3795.0
81.0	339350.0	73858.0	265492.0	3595.0
82.0	296177.0	63570.0	232607.0	3659.0
83.0	264590.0	54955.0	209635.0	3815.0
84.0	238314.0	47194.0	191120.0	4050.0
80 – 84	1569690.0	329521.0	1240169.0	3764.0
85.0	157689.0	30300.0	127389.0	4204.0
86.0	159151.0	28748.0	130403.0	4536.0
87.0	168200.0	29419.0	138781.0	4717.0
88.0	157303.0	26635.0	130668.0	4906.0
89.0	118210.0	20166.0	98044.0	4862.0
85 – 89	760553.0	135268.0	625285.0	4623.0
90.0	101475.0	16673.0	84802.0	5086.0
91.0	67726.0	10857.0	56869.0	5238.0
92.0	54685.0	8189.0	46496.0	5678.0
93.0	32662.0	4839.0	27823.0	5750.0
94.0	23521.0	3333.0	20188.0	6057.0
90 – 94	280069.0	43891.0	236178.0	5381.0
95.0	16575.0	2287.0	14288.0	6247.0
96.0	10705.0	1458.0	9247.0	6342.0
97.0	7437.0	984.0	6453.0	6558.0
98.0	4759.0	644.0	4115.0	6390.0
99.0	3449.0	488.0	2961.0	6068.0
95 – 99	42925.0	5861.0	37064.0	6324.0
100 и более	6652.0	967.0	5685.0	5879.0
возраст не указан	119895.0	60366.0	59529.0	986.0
Городское население 	106429049.0	49149510.0	57279539.0	1165.0
в том числе в возрасте, лет:				
до 1	931786.0	477485.0	454301.0	951.0
1.0	867183.0	444092.0	423091.0	953.0
2.0	860625.0	441531.0	419094.0	949.0
3.0	857242.0	439597.0	417645.0	950.0
4.0	878429.0	449792.0	428637.0	953.0
0 – 4	4395265.0	2252497.0	2142768.0	951.0
5.0	873298.0	447188.0	426110.0	953.0
6.0	895371.0	459021.0	436350.0	951.0
7.0	952104.0	486849.0	465255.0	956.0
8.0	975860.0	499295.0	476565.0	954.0
9.0	986563.0	504821.0	481742.0	954.0
5 – 9	4683196.0	2397174.0	2286022.0	954.0
10.0	1152089.0	588754.0	563335.0	957.0
11.0	1275035.0	651494.0	623541.0	957.0
12.0	1448188.0	740280.0	707908.0	956.0
13.0	1544940.0	788186.0	756754.0	960.0
14.0	1698826.0	863820.0	835006.0	967.0
10 – 14	7119078.0	3632534.0	3486544.0	960.0
15.0	1821649.0	924096.0	897553.0	971.0
16.0	1825808.0	920850.0	904958.0	983.0
17.0	1924161.0	956124.0	968037.0	1012.0
18.0	2032581.0	1019530.0	1013051.0	994.0
19.0	2054132.0	1043732.0	1010400.0	968.0
15 – 19	9658331.0	4864332.0	4793999.0	986.0
20.0	1895184.0	953969.0	941215.0	987.0
21.0	1782058.0	893105.0	888953.0	995.0
22.0	1791008.0	895939.0	895069.0	999.0
23.0	1699819.0	848806.0	851013.0	1003.0
24.0	1688071.0	839326.0	848745.0	1011.0
20 – 24	8856140.0	4431145.0	4424995.0	999.0
25.0	1673059.0	831157.0	841902.0	1013.0
26.0	1676011.0	834762.0	841249.0	1008.0
27.0	1642533.0	818660.0	823873.0	1006.0
28.0	1601998.0	797262.0	804736.0	1009.0
29.0	1556243.0	775508.0	780735.0	1007.0
25 – 29	8149844.0	4057349.0	4092495.0	1009.0
30.0	1626607.0	811515.0	815092.0	1004.0
31.0	1512783.0	753853.0	758930.0	1007.0
32.0	1527567.0	762462.0	765105.0	1003.0
33.0	1401321.0	692536.0	708785.0	1023.0
34.0	1365507.0	672072.0	693435.0	1032.0
30 – 34	7433785.0	3692438.0	3741347.0	1013.0
35.0	1386452.0	677300.0	709152.0	1047.0
36.0	1423782.0	692660.0	731122.0	1056.0
37.0	1463112.0	710452.0	752660.0	1059.0
38.0	1559450.0	752200.0	807250.0	1073.0
39.0	1672668.0	804802.0	867866.0	1078.0
35 – 39	7505464.0	3637414.0	3868050.0	1063.0
40.0	1809776.0	865524.0	944252.0	1091.0
41.0	1829774.0	871713.0	958061.0	1099.0
42.0	1932532.0	921019.0	1011513.0	1098.0
43.0	1856473.0	871193.0	985280.0	1131.0
44.0	1818774.0	851305.0	967469.0	1136.0
40 – 44	9247329.0	4380754.0	4866575.0	1111.0
45.0	1808164.0	844147.0	964017.0	1142.0
46.0	1756784.0	814638.0	942146.0	1157.0
47.0	1770235.0	816119.0	954116.0	1169.0
48.0	1741585.0	798219.0	943366.0	1182.0
49.0	1615793.0	738069.0	877724.0	1189.0
45 – 49	8692561.0	4011192.0	4681369.0	1167.0
50.0	1693688.0	769920.0	923768.0	1200.0
51.0	1567677.0	709873.0	857804.0	1208.0
52.0	1590267.0	720255.0	870012.0	1208.0
53.0	1621587.0	723170.0	898417.0	1242.0
54.0	1236619.0	553924.0	682695.0	1232.0
50 – 54	7709838.0	3477142.0	4232696.0	1217.0
55.0	1388984.0	613576.0	775408.0	1264.0
56.0	1061937.0	467718.0	594219.0	1270.0
57.0	687534.0	300542.0	386992.0	1288.0
58.0	529950.0	229565.0	300385.0	1308.0
59.0	483855.0	206400.0	277455.0	1344.0
55 – 59	4152260.0	1817801.0	2334459.0	1284.0
60.0	863577.0	356509.0	507068.0	1422.0
61.0	1089772.0	448187.0	641585.0	1432.0
62.0	1219496.0	495793.0	723703.0	1460.0
63.0	1314085.0	521449.0	792636.0	1520.0
64.0	1256117.0	491585.0	764532.0	1555.0
60 – 64	5743047.0	2313523.0	3429524.0	1482.0
65.0	1262002.0	490660.0	771342.0	1572.0
66.0	990103.0	378362.0	611741.0	1617.0
67.0	835293.0	315622.0	519671.0	1646.0
68.0	652174.0	240002.0	412172.0	1717.0
69.0	677127.0	242093.0	435034.0	1797.0
65 – 69	4416699.0	1666739.0	2749960.0	1650.0
70.0	800742.0	282313.0	518429.0	1836.0
71.0	769969.0	267051.0	502918.0	1883.0
72.0	838423.0	284285.0	554138.0	1949.0
73.0	776372.0	255832.0	520540.0	2035.0
74.0	795156.0	255931.0	539225.0	2107.0
70 – 74	3980662.0	1345412.0	2635250.0	1959.0
75.0	711786.0	225006.0	486780.0	2163.0
76.0	639083.0	185525.0	453558.0	2445.0
77.0	542502.0	137993.0	404509.0	2931.0
78.0	465074.0	108228.0	356846.0	3297.0
79.0	371891.0	80792.0	291099.0	3603.0
75 – 79	2730336.0	737544.0	1992792.0	2702.0
80.0	304021.0	65078.0	238943.0	3672.0
81.0	241669.0	53957.0	187712.0	3479.0
82.0	207302.0	46522.0	160780.0	3456.0
83.0	185406.0	40336.0	145070.0	3597.0
84.0	164302.0	34394.0	129908.0	3777.0
80 – 84	1102700.0	240287.0	862413.0	3589.0
85.0	110687.0	22546.0	88141.0	3909.0
86.0	110489.0	21506.0	88983.0	4138.0
87.0	115720.0	21897.0	93823.0	4285.0
88.0	106898.0	19839.0	87059.0	4388.0
89.0	80861.0	14985.0	65876.0	4396.0
85 – 89	524655.0	100773.0	423882.0	4206.0
90.0	67453.0	12222.0	55231.0	4519.0
91.0	45185.0	7886.0	37299.0	4730.0
92.0	35311.0	5968.0	29343.0	4917.0
93.0	21654.0	3508.0	18146.0	5173.0
94.0	15482.0	2430.0	13052.0	5371.0
90 – 94	185085.0	32014.0	153071.0	4781.0
95.0	10809.0	1666.0	9143.0	5488.0
96.0	6987.0	1083.0	5904.0	5452.0
97.0	4574.0	698.0	3876.0	5553.0
98.0	2960.0	456.0	2504.0	5491.0
99.0	2129.0	366.0	1763.0	4817.0
95 – 99	27459.0	4269.0	23190.0	5432.0
100 и более	3421.0	677.0	2744.0	4053.0
возраст не указан	111894.0	56500.0	55394.0	980.0
Сельское население 	38737682.0	18455623.0	20282059.0	1099.0
в том числе в возрасте, лет:				
до 1	401907.0	205213.0	196694.0	958.0
1.0	385885.0	197459.0	188426.0	954.0
2.0	398241.0	203140.0	195101.0	960.0
3.0	401297.0	205055.0	196242.0	957.0
4.0	416756.0	213206.0	203550.0	955.0
0 – 4	2004086.0	1024073.0	980013.0	957.0
5.0	416081.0	212118.0	203963.0	962.0
6.0	430354.0	219320.0	211034.0	962.0
7.0	451848.0	230204.0	221644.0	963.0
8.0	472111.0	241071.0	231040.0	958.0
9.0	487283.0	248479.0	238804.0	961.0
5 – 9	2257677.0	1151192.0	1106485.0	961.0
10.0	560131.0	286359.0	273772.0	956.0
11.0	608607.0	311629.0	296978.0	953.0
12.0	667775.0	341391.0	326384.0	956.0
13.0	698984.0	356873.0	342111.0	959.0
14.0	751802.0	383967.0	367835.0	958.0
10 – 14	3287299.0	1680219.0	1607080.0	956.0
15.0	759033.0	390245.0	368788.0	945.0
16.0	716547.0	370297.0	346250.0	935.0
17.0	576056.0	310103.0	265953.0	858.0
18.0	543975.0	287343.0	256632.0	893.0
19.0	546686.0	281867.0	264819.0	940.0
15 – 19	3142297.0	1639855.0	1502442.0	916.0
20.0	539119.0	280059.0	259060.0	925.0
21.0	519023.0	269846.0	249177.0	923.0
22.0	529834.0	274309.0	255525.0	932.0
23.0	514824.0	266506.0	248318.0	932.0
24.0	507464.0	261272.0	246192.0	942.0
20 – 24	2610264.0	1351992.0	1258272.0	931.0
25.0	501532.0	257676.0	243856.0	946.0
26.0	503410.0	257559.0	245851.0	955.0
27.0	494895.0	252073.0	242822.0	963.0
28.0	487685.0	248540.0	239145.0	962.0
29.0	475610.0	240953.0	234657.0	974.0
25 – 29	2463132.0	1256801.0	1206331.0	960.0
30.0	492106.0	249876.0	242230.0	969.0
31.0	474340.0	241043.0	233297.0	968.0
32.0	481900.0	245250.0	236650.0	965.0
33.0	473674.0	241092.0	232582.0	965.0
34.0	480569.0	244830.0	235739.0	963.0
30 – 34	2402589.0	1222091.0	1180498.0	966.0
35.0	494241.0	252332.0	241909.0	959.0
36.0	519901.0	265235.0	254666.0	960.0
37.0	529911.0	271025.0	258886.0	955.0
38.0	561295.0	287371.0	273924.0	953.0
39.0	605572.0	311477.0	294095.0	944.0
35 – 39	2710920.0	1387440.0	1323480.0	954.0
40.0	640395.0	329997.0	310398.0	941.0
41.0	656853.0	338991.0	317862.0	938.0
42.0	689909.0	357747.0	332162.0	928.0
43.0	669295.0	345535.0	323760.0	937.0
44.0	642689.0	331080.0	311609.0	941.0
40 – 44	3299141.0	1703350.0	1595791.0	937.0
45.0	627831.0	323142.0	304689.0	943.0
46.0	603455.0	308420.0	295035.0	957.0
47.0	590923.0	301031.0	289892.0	963.0
48.0	573103.0	289444.0	283659.0	980.0
49.0	518019.0	260238.0	257781.0	991.0
45 – 49	2913331.0	1482275.0	1431056.0	965.0
50.0	532588.0	265966.0	266622.0	1002.0
51.0	488027.0	241754.0	246273.0	1019.0
52.0	485991.0	240173.0	245818.0	1024.0
53.0	491375.0	240581.0	250794.0	1042.0
54.0	363379.0	176430.0	186949.0	1060.0
50 – 54	2361360.0	1164904.0	1196456.0	1027.0
55.0	392256.0	185265.0	206991.0	1117.0
56.0	295288.0	137265.0	158023.0	1151.0
57.0	180899.0	82069.0	98830.0	1204.0
58.0	155658.0	69223.0	86435.0	1249.0
59.0	171038.0	74302.0	96736.0	1302.0
55 – 59	1195139.0	548124.0	647015.0	1180.0
60.0	320947.0	137168.0	183779.0	1340.0
61.0	417292.0	177083.0	240209.0	1356.0
62.0	476076.0	199137.0	276939.0	1391.0
63.0	531110.0	220328.0	310782.0	1411.0
64.0	494590.0	203754.0	290836.0	1427.0
60 – 64	2240015.0	937470.0	1302545.0	1389.0
65.0	493985.0	203251.0	290734.0	1430.0
66.0	443779.0	180749.0	263030.0	1455.0
67.0	376361.0	152189.0	224172.0	1473.0
68.0	296643.0	118250.0	178393.0	1509.0
69.0	317109.0	122906.0	194203.0	1580.0
65 – 69	1927877.0	777345.0	1150532.0	1480.0
70.0	382171.0	145368.0	236803.0	1629.0
71.0	368456.0	138771.0	229685.0	1655.0
72.0	415983.0	151559.0	264424.0	1745.0
73.0	371211.0	129323.0	241888.0	1870.0
74.0	379214.0	123219.0	255995.0	2078.0
70 – 74	1917035.0	688240.0	1228795.0	1785.0
75.0	312714.0	92835.0	219879.0	2368.0
76.0	276953.0	72660.0	204293.0	2812.0
77.0	231864.0	55030.0	176834.0	3213.0
78.0	203964.0	46178.0	157786.0	3417.0
79.0	155455.0	32195.0	123260.0	3829.0
75 – 79	1180950.0	298898.0	882052.0	2951.0
80.0	127238.0	24866.0	102372.0	4117.0
81.0	97681.0	19901.0	77780.0	3908.0
82.0	88875.0	17048.0	71827.0	4213.0
83.0	79184.0	14619.0	64565.0	4417.0
84.0	74012.0	12800.0	61212.0	4782.0
80 – 84	466990.0	89234.0	377756.0	4233.0
85.0	47002.0	7754.0	39248.0	5062.0
86.0	48662.0	7242.0	41420.0	5719.0
87.0	52480.0	7522.0	44958.0	5977.0
88.0	50405.0	6796.0	43609.0	6417.0
89.0	37349.0	5181.0	32168.0	6209.0
85 – 89	235898.0	34495.0	201403.0	5839.0
90.0	34022.0	4451.0	29571.0	6644.0
91.0	22541.0	2971.0	19570.0	6587.0
92.0	19374.0	2221.0	17153.0	7723.0
93.0	11008.0	1331.0	9677.0	7270.0
94.0	8039.0	903.0	7136.0	7903.0
90 – 94	94984.0	11877.0	83107.0	6997.0
95.0	5766.0	621.0	5145.0	8285.0
96.0	3718.0	375.0	3343.0	8915.0
97.0	2863.0	286.0	2577.0	9010.0
98.0	1799.0	188.0	1611.0	8569.0
99.0	1320.0	122.0	1198.0	9820.0
95 – 99	15466.0	1592.0	13874.0	8715.0
100 и более	3231.0	290.0	2941.0	10141.0
возраст не указан	8001.0	3866.0	4135.0	1070.0
