name	total	key	wikipediaUrl	dbpediaUrl	
Все население	145166731	allnations			
Русские	115889107	russians	http://ru.wikipedia.org/wiki/%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B5	http://dbpedia.org/page/Russians	
Татары	5554601	tatars	http://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D1%82%D0%B0%D1%80%D1%8B	http://dbpedia.org/page/Tatars	
Украинцы	2942961	ukrainians	http://ru.wikipedia.org/wiki/%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%86%D1%8B	http://dbpedia.org/page/Ukrainians	
Башкиры	1673389	bashkirs	http://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%88%D0%BA%D0%B8%D1%80%D1%8B	http://dbpedia.org/page/Bashkirs	
Чуваши	1637094	chuvash	http://ru.wikipedia.org/wiki/%D0%A7%D1%83%D0%B2%D0%B0%D1%88%D0%B8	http://dbpedia.org/page/Chuvash_people	
Лица, не указавшие национальность в переписном листе 	1460751	nonation			
Чеченцы 	1360253	chechen	http://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D1%87%D0%B5%D0%BD%D1%86%D1%8B	http://dbpedia.org/page/Chechen_people	
Армяне	1130491	armenians	http://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%BC%D1%8F%D0%BD%D0%B5	http://dbpedia.org/page/Armenians	
Мордва 	843350	mordvins	http://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%80%D0%B4%D0%B2%D0%B0	http://dbpedia.org/page/Mordvins	
Аварцы	814473	avars	http://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B0%D1%80%D1%86%D1%8B	http://dbpedia.org/page/Caucasian_Avars	
Белорусы	807970	belarusians	http://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%BE%D1%80%D1%83%D1%81%D1%8B	http://dbpedia.org/page/Belarusians	
Казахи	653962	kazakhs	http://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D0%B8	http://dbpedia.org/page/Kazakhs	
Удмурты	636906	udmurt	http://ru.wikipedia.org/wiki/%D0%A3%D0%B4%D0%BC%D1%83%D1%80%D1%82%D1%8B	http://dbpedia.org/page/Udmurt_people	
Азербайджанцы	621840	azerbaijani	http://ru.wikipedia.org/wiki/%D0%90%D0%B7%D0%B5%D1%80%D0%B1%D0%B0%D0%B9%D0%B4%D0%B6%D0%B0%D0%BD%D1%86%D1%8B	http://dbpedia.org/page/Azerbaijani_people	
Марийцы 	604298	mari	http://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D0%B8%D0%B9%D1%86%D1%8B		http://dbpedia.org/page/Mari_people
Немцы	597212	germans	http://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%BC%D1%86%D1%8B	http://dbpedia.org/page/Germans	
Кабардинцы	519958	kabarday	http://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B1%D0%B0%D1%80%D0%B4%D0%B8%D0%BD%D1%86%D1%8B	http://dbpedia.org/page/Kabarday	
Осетины	514875	ossetians	http://ru.wikipedia.org/wiki/%D0%9E%D1%81%D0%B5%D1%82%D0%B8%D0%BD%D1%8B	http://dbpedia.org/page/Ossetians	
Даргинцы	510156	dargwa	http://ru.wikipedia.org/wiki/%D0%94%D0%B0%D1%80%D0%B3%D0%B8%D0%BD%D1%86%D1%8B	http://dbpedia.org/page/Dargwa_people	
Буряты	445175	buryats	http://ru.wikipedia.org/wiki/%D0%91%D1%83%D1%80%D1%8F%D1%82%D1%8B	http://dbpedia.org/page/Buryats	
Якуты 	443852	yakuts	http://ru.wikipedia.org/wiki/%D0%AF%D0%BA%D1%83%D1%82%D1%8B	http://dbpedia.org/page/Yakuts	
Кумыки	422409	kumyks	http://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%BC%D1%8B%D0%BA%D0%B8	http://dbpedia.org/page/Kumyks	
Ингуши	413016	ingush	http://ru.wikipedia.org/wiki/%D0%98%D0%BD%D0%B3%D1%83%D1%88%D0%B8	http://dbpedia.org/page/Ingush_people	
Лезгины	411535	lezgian	http://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%B7%D0%B3%D0%B8%D0%BD%D1%8B	http://dbpedia.org/page/Lezgian_people	
Коми	293406	komipeoples	http://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC%D0%B8_(%D0%BD%D0%B0%D1%80%D0%BE%D0%B4)	http://dbpedia.org/page/Komi_peoples	
Тувинцы	243442	tuvans	http://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%B2%D0%B8%D0%BD%D1%86%D1%8B	http://dbpedia.org/page/Tuvans	
Евреи	229938	jews	http://ru.wikipedia.org/wiki/%D0%95%D0%B2%D1%80%D0%B5%D0%B8	http://dbpedia.org/page/Jews	
Грузины 	197934	georgians	http://ru.wikipedia.org/wiki/%D0%93%D1%80%D1%83%D0%B7%D0%B8%D0%BD%D1%8B	http://dbpedia.org/page/Georgians	
Карачаевцы	192182	karachays	http://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D1%87%D0%B0%D0%B5%D0%B2%D1%86%D1%8B	http://dbpedia.org/page/Karachays	
Цыгане	182766	romanipeople	http://ru.wikipedia.org/wiki/%D0%A6%D1%8B%D0%B3%D0%B0%D0%BD%D0%B5	http://dbpedia.org/page/Romani_people	
Калмыки	173996	kalmyk	http://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D0%BC%D1%8B%D0%BA%D0%B8	http://dbpedia.org/page/Kalmyk_people	
Молдаване	172330	moldovans	http://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D0%BB%D0%B4%D0%B0%D0%B2%D0%B0%D0%BD%D0%B5	http://dbpedia.org/page/Moldovans	
Лакцы	156545	lakpeople	http://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%BA%D1%86%D1%8B	http://dbpedia.org/page/Lak_people_(Dagestan)	
Корейцы	148556	koreans	http://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%B5%D0%B9%D1%86%D1%8B	http://dbpedia.org/page/Koreans	
Казаки	140028	cossaks	http://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B7%D0%B0%D0%BA%D0%B8	http://dbpedia.org/page/Cossacks	
Табасараны	131785	tabasaran	http://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B1%D0%B0%D1%81%D0%B0%D1%80%D0%B0%D0%BD%D1%8B	http://dbpedia.org/page/Tabasaran_people	
Адыгейцы	128528	adyghe	http://ru.wikipedia.org/wiki/%D0%90%D0%B4%D1%8B%D0%B3%D0%B5%D0%B9%D1%86%D1%8B	http://dbpedia.org/page/Adyghe_people	
Коми-пермяки	125235	komipermians	http://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC%D0%B8-%D0%BF%D0%B5%D1%80%D0%BC%D1%8F%D0%BA%D0%B8		
Узбеки	122916	uzbeks	http://ru.wikipedia.org/wiki/%D0%A3%D0%B7%D0%B1%D0%B5%D0%BA%D0%B8	http://dbpedia.org/page/Uzbeks	
Таджики	120136	tajik	http://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B4%D0%B6%D0%B8%D0%BA%D0%B8	http://dbpedia.org/page/Tajik_people	
Балкарцы	108426	balkars	http://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%BB%D0%BA%D0%B0%D1%80%D1%86%D1%8B	http://dbpedia.org/page/Balkars	
Греки	97827	greeks	http://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B5%D0%BA%D0%B8	http://dbpedia.org/page/Greeks	
Карелы	93344	karelians	http://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B5%D0%BB%D1%8B	http://dbpedia.org/page/Karelians	
Турки	92415	turkish	http://ru.wikipedia.org/wiki/%D0%A2%D1%83%D1%80%D0%BA%D0%B8	http://dbpedia.org/page/Turkish_people	
Ногайцы 	90666	nogais	http://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B3%D0%B0%D0%B9%D1%86%D1%8B	http://dbpedia.org/page/Nogais	
Мордва-эрзя	84407	mordvaerzya	http://ru.wikipedia.org/wiki/%D0%AD%D1%80%D0%B7%D1%8F%D0%BD%D0%B5		
Хакасы	75622	khakas	http://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D0%BA%D0%B0%D1%81%D1%8B	http://dbpedia.org/page/Khakas	
Поляки	73001	poles	http://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D1%8F%D0%BA%D0%B8	http://dbpedia.org/page/Poles	
Алтайцы 	67239	altaypeople	http://ru.wikipedia.org/wiki/%D0%90%D0%BB%D1%82%D0%B0%D0%B9%D1%86%D1%8B	http://dbpedia.org/page/Altay_people	
Черкесы	60517	cherkess	http://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D1%80%D0%BA%D0%B5%D1%81%D1%8B		
Лугово-восточные марийцы	56119	eastmari	http://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%81%D1%82%D0%BE%D1%87%D0%BD%D1%8B%D0%B5_%D0%BC%D0%B0%D1%80%D0%B8%D0%B9%D1%86%D1%8B		
Мордва-мокша	49624	mordvamoksha	http://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D0%BA%D1%88%D0%B0_(%D0%BD%D0%B0%D1%80%D0%BE%D0%B4)		
Литовцы	45569	lithuaninan	http://ru.wikipedia.org/wiki/%D0%9B%D0%B8%D1%82%D0%BE%D0%B2%D1%86%D1%8B	http://dbpedia.org/page/Lithuanian_people	
Лица других национальностей (не перечисленных выше)	42980	othernations			
Ненцы	41302	nenets	http://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%BD%D1%86%D1%8B	http://dbpedia.org/page/Nenets_people	
Абазины	37942	abazins	http://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B0%D0%B7%D0%B8%D0%BD%D1%8B	http://dbpedia.org/page/Abazins	
Эвенки	35527	evenks	http://ru.wikipedia.org/wiki/%D0%AD%D0%B2%D0%B5%D0%BD%D0%BA%D0%B8	http://dbpedia.org/page/Evenks	
Китайцы	34577	hanchinese	http://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D0%BD%D1%8C_(%D0%BD%D0%B0%D1%80%D0%BE%D0%B4)	http://dbpedia.org/page/Han_Chinese	
Финны	34050	finns	http://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BD%D0%BD%D1%8B	http://dbpedia.org/page/Finns	
Туркмены	33053	turkmen	http://ru.wikipedia.org/wiki/%D0%A2%D1%83%D1%80%D0%BA%D0%BC%D0%B5%D0%BD%D1%8B	http://dbpedia.org/page/Turkmen_people	
Болгары	31965	bulgarians	http://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D0%B3%D0%B0%D1%80%D1%8B	http://dbpedia.org/page/Bulgarians	
Киргизы	31808	kyrgyz	http://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D1%80%D0%B3%D0%B8%D0%B7%D1%8B	http://dbpedia.org/page/Kyrgyz	
Езиды	31273	yazidi	http://ru.wikipedia.org/wiki/%D0%95%D0%B7%D0%B8%D0%B4%D1%8B	http://dbpedia.org/page/Yazidi	
Рутульцы	29929	rutulpeople	http://ru.wikipedia.org/wiki/%D0%A0%D1%83%D1%82%D1%83%D0%BB%D1%8C%D1%86%D1%8B	http://dbpedia.org/page/Rutul_people	
Ханты	28678	khanty	http://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D0%BD%D1%82%D1%8B	http://dbpedia.org/page/Khanty_people	
Латыши 	28520	latvian	http://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D1%82%D1%8B%D1%88%D0%B8	http://dbpedia.org/page/Latvian_people	
Агулы	28297	aghul	http://ru.wikipedia.org/wiki/%D0%90%D0%B3%D1%83%D0%BB%D1%8B	http://dbpedia.org/page/Aghul_people	
Эстонцы 	28113	estonians	http://ru.wikipedia.org/wiki/%D0%AD%D1%81%D1%82%D0%BE%D0%BD%D1%86%D1%8B	http://dbpedia.org/page/Estonians	
Вьетнамцы	26206	vietnamese	http://ru.wikipedia.org/wiki/%D0%92%D1%8C%D0%B5%D1%82%D1%8B	http://dbpedia.org/page/Vietnamese_people	
Кряшены	24668	kerasens	http://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8F%D1%88%D0%B5%D0%BD%D1%8B	http://dbpedia.org/page/Ker%C3%A4%C5%9Fens	
Андийцы	21808	andipeople	http://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D0%B8%D0%B9%D1%86%D1%8B	http://dbpedia.org/page/Andi_people	
Курды	19607	kurdish	http://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D0%B4%D1%8B	http://dbpedia.org/page/Kurdish_people	
Эвены	19071	evens	http://ru.wikipedia.org/wiki/%D0%AD%D0%B2%D0%B5%D0%BD%D1%8B	http://dbpedia.org/page/Evens	
Горные марийцы	18515	mountmari	http://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%BD%D1%8B%D0%B5_%D0%BC%D0%B0%D1%80%D0%B8%D0%B9%D1%86%D1%8B		
Чукчи	15767	chukchi	http://ru.wikipedia.org/wiki/%D0%A7%D1%83%D0%BA%D1%87%D0%B8	http://dbpedia.org/page/Chukchi_people	
Коми-ижемцы	15607	komiizhem	http://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BC%D0%B8-%D0%B8%D0%B6%D0%B5%D0%BC%D1%86%D1%8B		
Дидойцы 	15256	didoytsi	http://ru.wikipedia.org/wiki/%D0%94%D0%B8%D0%B4%D0%BE%D0%B9%D1%86%D1%8B		
Шорцы	13975	shors	http://ru.wikipedia.org/wiki/%D0%A8%D0%BE%D1%80%D1%86%D1%8B	http://dbpedia.org/page/Shors	
Ассирийцы	13649	assyrian	http://ru.wikipedia.org/wiki/%D0%90%D1%81%D1%81%D0%B8%D1%80%D0%B8%D0%B9%D1%86%D1%8B	http://dbpedia.org/page/Assyrian_people	
Гагаузы	12210	gagauz	http://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B3%D0%B0%D1%83%D0%B7%D1%8B	http://dbpedia.org/page/Gagauz_people	
Нанайцы	12160	nanai	http://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%BD%D0%B0%D0%B9%D1%86%D1%8B	http://dbpedia.org/page/Nanai	
Манси	11432	mansi	http://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BD%D1%81%D0%B8	http://dbpedia.org/page/Mansi	
Абхазы	11366	abkhaz	http://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%85%D0%B0%D0%B7%D1%8B	http://dbpedia.org/page/Abkhaz_people	
Арабы	10630	arabpeople	http://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%B0%D0%B1%D1%8B	http://dbpedia.org/page/Arab_people	
Цахуры	10366	tsakhur	http://ru.wikipedia.org/wiki/%D0%A6%D0%B0%D1%85%D1%83%D1%80%D1%8B	http://dbpedia.org/page/Tsakhur_people	
Пуштуны	9800				
Татары сибирские	9611				
Нагайбаки	9600				
Коряки	8743				
Вепсы	8240				
Долганы	7261				
Поморы	6571				
Ахвахцы	6376				
Бежтинцы	6198				
Каратинцы	6052				
Румыны	5308				
Нивхи	5162				
Индийцы хиндиязычные	4980				
Тувинцы-тоджинцы	4442				
Селькупы	4249				
Сербы	4156				
Татары крымские	4131				
Персы	3821				
Венгры	3768				
Удины	3721				
Евреи горские 	3394				
Турки-месхетинцы	3257				
Шапсуги	3231				
Ительмены	3180				
Бесермяне	3122				
Кумандинцы	3114				
Ульчи	2913				
Чехи	2904				
Уйгуры	2867				
Сойоты	2769				
Монголы	2656				
Телеуты	2650				
Талыши	2548				
Теленгиты	2399				
Таты	2303				
Камчадалы	2293				
Астраханские татары	2003				
Саамы	1991				
Эскимосы	1750				
Удэгейцы	1657				
Латгальцы	1622				
Каракалпаки	1609				
Тубалары	1565				
Испанцы	1547				
Хемшилы	1542				
Юкагиры	1509				
Кеты	1494				
Американцы	1275				
Чуванцы	1087				
Гунзибцы	998				
Итальянцы	862				
Челканцы	855				
Тофалары	837				
Японцы	835				
Нганасаны	834				
Французы	819				
Дунгане 	801				
Кубинцы	707				
Орочи	686				
Чулымцы	656				
Осетины-дигорцы	607				
Словаки	568				
Негидальцы	567				
Алеуты	540				
Гинухцы	531				
Англичане	529				
Цыгане среднеазиатские	486				
Мегрелы	433				
Караимы	366				
Ульта (ороки)	346				
Ижорцы	327				
Финны-ингерманландцы	314				
Тазы	276				
Аджарцы	252				
Энцы	237				
Лазы	221				
Чеченцы-аккинцы	218				
Эстонцы-сету	197				
Арабы среднеазиатские	181				
Крымчаки	157				
Хваршины	128				
Осетины-иронцы	97				
Русины	97				
Арчинцы	89				
Кубачинцы	88				
Водь	73				
Ингилойцы	63				
Греки-урумы	54				
Евреи среднеазиатские	54				
Евреи грузинские	53				
Тиндалы	44				
Сваны	41				
Багулалы	40				
Годоберинцы	39				
Юги	19				
Ботлихцы	16				
Чамалалы	12				
Кереки	8				
Кайтагцы	5				
